GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AER001
"G0100010","1850","Alabama","010","Autauga","0010","Autauga",330
"G0100030","1850","Alabama","010","Baldwin","0030","Baldwin",366
"G0100050","1850","Alabama","010","Barbour","0050","Barbour",123
"G0100055","1850","Alabama","010","Benton","0055","Benton",118
"G0100070","1850","Alabama","010","Bibb","0070","Bibb",120
"G0100090","1850","Alabama","010","Blount","0090","Blount",23
"G0100130","1850","Alabama","010","Butler","0130","Butler",52
"G0100170","1850","Alabama","010","Chambers","0170","Chambers",136
"G0100190","1850","Alabama","010","Cherokee","0190","Cherokee",45
"G0100230","1850","Alabama","010","Choctaw","0230","Choctaw",0
"G0100250","1850","Alabama","010","Clarke","0250","Clarke",84
"G0100310","1850","Alabama","010","Coffee","0310","Coffee",18
"G0100350","1850","Alabama","010","Conecuh","0350","Conecuh",43
"G0100370","1850","Alabama","010","Coosa","0370","Coosa",83
"G0100390","1850","Alabama","010","Covington","0390","Covington",30
"G0100450","1850","Alabama","010","Dale","0450","Dale",0
"G0100470","1850","Alabama","010","Dallas","0470","Dallas",159
"G0100490","1850","Alabama","010","DeKalb","0490","Dekalb",21
"G0100570","1850","Alabama","010","Fayette","0570","Fayette",49
"G0100590","1850","Alabama","010","Franklin","0590","Franklin",111
"G0100630","1850","Alabama","010","Greene","0630","Greene",199
"G0100655","1850","Alabama","010","Hancock","0655","Hancock",0
"G0100670","1850","Alabama","010","Henry","0670","Henry",0
"G0100710","1850","Alabama","010","Jackson","0710","Jackson",30
"G0100730","1850","Alabama","010","Jefferson","0730","Jefferson",38
"G0100770","1850","Alabama","010","Lauderdale","0770","Lauderdale",277
"G0100790","1850","Alabama","010","Lawrence","0790","Lawrence",61
"G0100830","1850","Alabama","010","Limestone","0830","Limestone",98
"G0100850","1850","Alabama","010","Lowndes","0850","Lowndes",25
"G0100870","1850","Alabama","010","Macon","0870","Macon",130
"G0100890","1850","Alabama","010","Madison","0890","Madison",372
"G0100910","1850","Alabama","010","Marengo","0910","Marengo",26
"G0100930","1850","Alabama","010","Marion","0930","Marion",21
"G0100950","1850","Alabama","010","Marshall","0950","Marshall",41
"G0100970","1850","Alabama","010","Mobile","0970","Mobile",540
"G0100990","1850","Alabama","010","Monroe","0990","Monroe",70
"G0101010","1850","Alabama","010","Montgomery","1010","Montgomery",121
"G0101030","1850","Alabama","010","Morgan","1030","Morgan",25
"G0101050","1850","Alabama","010","Perry","1050","Perry",96
"G0101070","1850","Alabama","010","Pickens","1070","Pickens",100
"G0101090","1850","Alabama","010","Pike","1090","Pike",13
"G0101110","1850","Alabama","010","Randolph","1110","Randolph",83
"G0101130","1850","Alabama","010","Russell","1130","Russell",14
"G0101150","1850","Alabama","010","St Clair","1150","St Clair",0
"G0101170","1850","Alabama","010","Shelby","1170","Shelby",32
"G0101190","1850","Alabama","010","Sumter","1190","Sumter",51
"G0101210","1850","Alabama","010","Talladega","1210","Talladega",92
"G0101230","1850","Alabama","010","Tallapoosa","1230","Tallapoosa",143
"G0101250","1850","Alabama","010","Tuscaloosa","1250","Tuscaloosa",264
"G0101270","1850","Alabama","010","Walker","1270","Walker",43
"G0101290","1850","Alabama","010","Washington","1290","Washington",0
"G0101310","1850","Alabama","010","Wilcox","1310","Wilcox",22
"G0500010","1850","Arkansas","050","Arkansas","0010","Arkansas",0
