GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,ANY001
"G0100010","1870","Alabama","010","Autauga","0010","Autauga",2
"G0100015","1870","Alabama","010","Baker","0015","Baker",0
"G0100030","1870","Alabama","010","Baldwin","0030","Baldwin",5
"G0100050","1870","Alabama","010","Barbour","0050","Barbour",7
"G0100070","1870","Alabama","010","Bibb","0070","Bibb",7
"G0100090","1870","Alabama","010","Blount","0090","Blount",1
"G0100110","1870","Alabama","010","Bullock","0110","Bullock",9
"G0100130","1870","Alabama","010","Butler","0130","Butler",5
"G0100150","1870","Alabama","010","Calhoun","0150","Calhoun",8
"G0100170","1870","Alabama","010","Chambers","0170","Chambers",0
"G0100190","1870","Alabama","010","Cherokee","0190","Cherokee",4
"G0100230","1870","Alabama","010","Choctaw","0230","Choctaw",6
"G0100250","1870","Alabama","010","Clarke","0250","Clarke",1
"G0100270","1870","Alabama","010","Clay","0270","Clay",0
"G0100290","1870","Alabama","010","Cleburne","0290","Cleburne",0
"G0100310","1870","Alabama","010","Coffee","0310","Coffee",0
"G0100330","1870","Alabama","010","Colbert","0330","Colbert",11
"G0100350","1870","Alabama","010","Conecuh","0350","Conecuh",2
"G0100370","1870","Alabama","010","Coosa","0370","Coosa",0
"G0100390","1870","Alabama","010","Covington","0390","Covington",0
"G0100410","1870","Alabama","010","Crenshaw","0410","Crenshaw",1
"G0100450","1870","Alabama","010","Dale","0450","Dale",1
"G0100470","1870","Alabama","010","Dallas","0470","Dallas",16
"G0100490","1870","Alabama","010","DeKalb","0490","Dekalb",0
"G0100510","1870","Alabama","010","Elmore","0510","Elmore",2
"G0100530","1870","Alabama","010","Escambia","0530","Escambia",0
"G0100550","1870","Alabama","010","Etowah","0550","Etowah",6
"G0100570","1870","Alabama","010","Fayette","0570","Fayette",0
"G0100590","1870","Alabama","010","Franklin","0590","Franklin",3
"G0100610","1870","Alabama","010","Geneva","0610","Geneva",0
"G0100630","1870","Alabama","010","Greene","0630","Greene",5
"G0100650","1870","Alabama","010","Hale","0650","Hale",9
"G0100670","1870","Alabama","010","Henry","0670","Henry",0
"G0100710","1870","Alabama","010","Jackson","0710","Jackson",7
"G0100730","1870","Alabama","010","Jefferson","0730","Jefferson",0
"G0100770","1870","Alabama","010","Lauderdale","0770","Lauderdale",2
"G0100790","1870","Alabama","010","Lawrence","0790","Lawrence",4
"G0100810","1870","Alabama","010","Lee","0810","Lee",2
"G0100830","1870","Alabama","010","Limestone","0830","Limestone",3
"G0100850","1870","Alabama","010","Lowndes","0850","Lowndes",10
"G0100870","1870","Alabama","010","Macon","0870","Macon",7
"G0100890","1870","Alabama","010","Madison","0890","Madison",10
"G0100910","1870","Alabama","010","Marengo","0910","Marengo",16
"G0100930","1870","Alabama","010","Marion","0930","Marion",0
"G0100950","1870","Alabama","010","Marshall","0950","Marshall",0
"G0100970","1870","Alabama","010","Mobile","0970","Mobile",32
"G0100990","1870","Alabama","010","Monroe","0990","Monroe",0
"G0101010","1870","Alabama","010","Montgomery","1010","Montgomery",22
"G0101030","1870","Alabama","010","Morgan","1030","Morgan",0
"G0101050","1870","Alabama","010","Perry","1050","Perry",5
"G0101070","1870","Alabama","010","Pickens","1070","Pickens",8
"G0101090","1870","Alabama","010","Pike","1090","Pike",2
"G0101110","1870","Alabama","010","Randolph","1110","Randolph",0
"G0101130","1870","Alabama","010","Russell","1130","Russell",12
"G0101150","1870","Alabama","010","St Clair","1150","St Clair",1
"G0101155","1870","Alabama","010","Sanford","1155","Sanford",0
"G0101170","1870","Alabama","010","Shelby","1170","Shelby",11
"G0101190","1870","Alabama","010","Sumter","1190","Sumter",0
"G0101210","1870","Alabama","010","Talladega","1210","Talladega",2
"G0101230","1870","Alabama","010","Tallapoosa","1230","Tallapoosa",0
"G0101250","1870","Alabama","010","Tuscaloosa","1250","Tuscaloosa",8
"G0101270","1870","Alabama","010","Walker","1270","Walker",0
"G0101290","1870","Alabama","010","Washington","1290","Washington",2
"G0101310","1870","Alabama","010","Wilcox","1310","Wilcox",18
"G0101330","1870","Alabama","010","Winston","1330","Winston",0
"G0450155","1870","Arizona Territory","045","Mohave","0155","Mohave",0
"G0450177","1870","Arizona Territory","045","Pah-Ute","0177","Pah-Ute",
"G0450195","1870","Arizona Territory","045","Pima","0195","Pima",2
"G0450255","1870","Arizona Territory","045","Yavapai","0255","Yavapai",0
"G0450275","1870","Arizona Territory","045","Yuma","0275","Yuma",3
"G0500010","1870","Arkansas","050","Arkansas","0010","Arkansas",0
"G0500030","1870","Arkansas","050","Ashley","0030","Ashley",0
"G0500070","1870","Arkansas","050","Benton","0070","Benton",5
"G0500090","1870","Arkansas","050","Boone","0090","Boone",0
"G0500110","1870","Arkansas","050","Bradley","0110","Bradley",6
"G0500130","1870","Arkansas","050","Calhoun","0130","Calhoun",2
"G0500150","1870","Arkansas","050","Carroll","0150","Carroll",5
"G0500170","1870","Arkansas","050","Chicot","0170","Chicot",0
"G0500190","1870","Arkansas","050","Clark","0190","Clark",7
"G0500270","1870","Arkansas","050","Columbia","0270","Columbia",8
"G0500290","1870","Arkansas","050","Conway","0290","Conway",4
"G0500310","1870","Arkansas","050","Craighead","0310","Craighead",2
"G0500330","1870","Arkansas","050","Crawford","0330","Crawford",3
"G0500350","1870","Arkansas","050","Crittenden","0350","Crittenden",0
"G0500370","1870","Arkansas","050","Cross","0370","Cross",6
"G0500390","1870","Arkansas","050","Dallas","0390","Dallas",1
"G0500410","1870","Arkansas","050","Desha","0410","Desha",1
"G0500430","1870","Arkansas","050","Drew","0430","Drew",7
"G0500470","1870","Arkansas","050","Franklin","0470","Franklin",8
"G0500490","1870","Arkansas","050","Fulton","0490","Fulton",1
"G0500530","1870","Arkansas","050","Grant","0530","Grant",3
"G0500550","1870","Arkansas","050","Greene","0550","Greene",4
"G0500570","1870","Arkansas","050","Hempstead","0570","Hempstead",7
"G0500590","1870","Arkansas","050","Hot Spring","0590","Hot Spring",3
"G0500630","1870","Arkansas","050","Independence","0630","Independence",5
"G0500650","1870","Arkansas","050","Izard","0650","Izard",2
"G0500670","1870","Arkansas","050","Jackson","0670","Jackson",3
"G0500690","1870","Arkansas","050","Jefferson","0690","Jefferson",12
"G0500710","1870","Arkansas","050","Johnson","0710","Johnson",4
"G0500730","1870","Arkansas","050","Lafayette","0730","Lafayette",1
"G0500750","1870","Arkansas","050","Lawrence","0750","Lawrence",0
"G0500810","1870","Arkansas","050","Little River","0810","Little River",2
"G0500870","1870","Arkansas","050","Madison","0870","Madison",0
