GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AEE001
"G0100010","1850","Alabama","010","Autauga","0010","Autauga",1368113
"G0100030","1850","Alabama","010","Baldwin","0030","Baldwin",120476
"G0100050","1850","Alabama","010","Barbour","0050","Barbour",1962320
"G0100055","1850","Alabama","010","Benton","0055","Benton",1301300
"G0100070","1850","Alabama","010","Bibb","0070","Bibb",621944
"G0100090","1850","Alabama","010","Blount","0090","Blount",240656
"G0100130","1850","Alabama","010","Butler","0130","Butler",400170
"G0100170","1850","Alabama","010","Chambers","0170","Chambers",2274615
"G0100190","1850","Alabama","010","Cherokee","0190","Cherokee",1182398
"G0100230","1850","Alabama","010","Choctaw","0230","Choctaw",649393
"G0100250","1850","Alabama","010","Clarke","0250","Clarke",675460
"G0100310","1850","Alabama","010","Coffee","0310","Coffee",232001
"G0100350","1850","Alabama","010","Conecuh","0350","Conecuh",426965
"G0100370","1850","Alabama","010","Coosa","0370","Coosa",819211
"G0100390","1850","Alabama","010","Covington","0390","Covington",90751
"G0100450","1850","Alabama","010","Dale","0450","Dale",291522
"G0100470","1850","Alabama","010","Dallas","0470","Dallas",3902668
"G0100490","1850","Alabama","010","DeKalb","0490","Dekalb",464967
"G0100570","1850","Alabama","010","Fayette","0570","Fayette",409649
"G0100590","1850","Alabama","010","Franklin","0590","Franklin",2196209
"G0100630","1850","Alabama","010","Greene","0630","Greene",3705218
"G0100655","1850","Alabama","010","Hancock","0655","Hancock",40139
"G0100670","1850","Alabama","010","Henry","0670","Henry",603240
"G0100710","1850","Alabama","010","Jackson","0710","Jackson",952486
"G0100730","1850","Alabama","010","Jefferson","0730","Jefferson",580808
"G0100770","1850","Alabama","010","Lauderdale","0770","Lauderdale",1637935
"G0100790","1850","Alabama","010","Lawrence","0790","Lawrence",1604406
"G0100830","1850","Alabama","010","Limestone","0830","Limestone",1981287
"G0100850","1850","Alabama","010","Lowndes","0850","Lowndes",1800772
"G0100870","1850","Alabama","010","Macon","0870","Macon",2490003
"G0100890","1850","Alabama","010","Madison","0890","Madison",3276203
"G0100910","1850","Alabama","010","Marengo","0910","Marengo",3604083
"G0100930","1850","Alabama","010","Marion","0930","Marion",265408
"G0100950","1850","Alabama","010","Marshall","0950","Marshall",416170
"G0100970","1850","Alabama","010","Mobile","0970","Mobile",495660
"G0100990","1850","Alabama","010","Monroe","0990","Monroe",842285
"G0101010","1850","Alabama","010","Montgomery","1010","Montgomery",2864322
"G0101030","1850","Alabama","010","Morgan","1030","Morgan",893597
"G0101050","1850","Alabama","010","Perry","1050","Perry",2618994
"G0101070","1850","Alabama","010","Pickens","1070","Pickens",1778547
"G0101090","1850","Alabama","010","Pike","1090","Pike",963742
"G0101110","1850","Alabama","010","Randolph","1110","Randolph",607907
"G0101130","1850","Alabama","010","Russell","1130","Russell",1724187
"G0101150","1850","Alabama","010","St Clair","1150","St Clair",377090
"G0101170","1850","Alabama","010","Shelby","1170","Shelby",646448
"G0101190","1850","Alabama","010","Sumter","1190","Sumter",1780640
"G0101210","1850","Alabama","010","Talladega","1210","Talladega",1607153
"G0101230","1850","Alabama","010","Tallapoosa","1230","Tallapoosa",1017801
"G0101250","1850","Alabama","010","Tuscaloosa","1250","Tuscaloosa",1087655
"G0101270","1850","Alabama","010","Walker","1270","Walker",244154
"G0101290","1850","Alabama","010","Washington","1290","Washington",176521
"G0101310","1850","Alabama","010","Wilcox","1310","Wilcox",2007575
"G0500010","1850","Arkansas","050","Arkansas","0010","Arkansas",552681
"G0500030","1850","Arkansas","050","Ashley","0030","Ashley",148285
"G0500070","1850","Arkansas","050","Benton","0070","Benton",214196
"G0500110","1850","Arkansas","050","Bradley","0110","Bradley",291874
"G0500150","1850","Arkansas","050","Carroll","0150","Carroll",178739
"G0500170","1850","Arkansas","050","Chicot","0170","Chicot",1324607
"G0500190","1850","Arkansas","050","Clark","0190","Clark",285063
"G0500290","1850","Arkansas","050","Conway","0290","Conway",150252
"G0500330","1850","Arkansas","050","Crawford","0330","Crawford",392115
"G0500350","1850","Arkansas","050","Crittenden","0350","Crittenden",481217
"G0500390","1850","Arkansas","050","Dallas","0390","Dallas",519871
"G0500410","1850","Arkansas","050","Desha","0410","Desha",391697
"G0500430","1850","Arkansas","050","Drew","0430","Drew",133637
"G0500470","1850","Arkansas","050","Franklin","0470","Franklin",205770
"G0500490","1850","Arkansas","050","Fulton","0490","Fulton",73991
"G0500550","1850","Arkansas","050","Greene","0550","Greene",78537
"G0500570","1850","Arkansas","050","Hempstead","0570","Hempstead",591487
"G0500590","1850","Arkansas","050","Hot Spring","0590","Hot Spring",189610
"G0500630","1850","Arkansas","050","Independence","0630","Independence",521665
"G0500650","1850","Arkansas","050","Izard","0650","Izard",138777
"G0500670","1850","Arkansas","050","Jackson","0670","Jackson",239832
"G0500690","1850","Arkansas","050","Jefferson","0690","Jefferson",791332
"G0500710","1850","Arkansas","050","Johnson","0710","Johnson",309572
"G0500730","1850","Arkansas","050","Lafayette","0730","Lafayette",454608
"G0500750","1850","Arkansas","050","Lawrence","0750","Lawrence",267579
"G0500870","1850","Arkansas","050","Madison","0870","Madison",259539
"G0500890","1850","Arkansas","050","Marion","0890","Marion",137795
"G0500930","1850","Arkansas","050","Mississippi","0930","Mississippi",327415
"G0500950","1850","Arkansas","050","Monroe","0950","Monroe",86950
"G0500970","1850","Arkansas","050","Montgomery","0970","Montgomery",98230
"G0501010","1850","Arkansas","050","Newton","1010","Newton",63732
"G0501030","1850","Arkansas","050","Ouachita","1030","Ouachita",267961
"G0501050","1850","Arkansas","050","Perry","1050","Perry",25175
"G0501070","1850","Arkansas","050","Phillips","1070","Phillips",1016068
"G0501090","1850","Arkansas","050","Pike","1090","Pike",80195
"G0501110","1850","Arkansas","050","Poinsett","1110","Poinsett",100612
"G0501130","1850","Arkansas","050","Polk","1130","Polk",50115
"G0501150","1850","Arkansas","050","Pope","1150","Pope",241375
"G0501170","1850","Arkansas","050","Prairie","1170","Prairie",180332
"G0501190","1850","Arkansas","050","Pulaski","1190","Pulaski",426115
"G0501210","1850","Arkansas","050","Randolph","1210","Randolph",173365
"G0501230","1850","Arkansas","050","St Francis","1230","St Francis",273067
"G0501250","1850","Arkansas","050","Saline","1250","Saline",216247
"G0501270","1850","Arkansas","050","Scott","1270","Scott",99175
"G0501290","1850","Arkansas","050","Searcy","1290","Searcy",85201
