GISJOIN,YEAR,STATE,STATEA,AREANAME,AFA001,AFA002,AFB001,AFB002,AFB003,AFB004,AFB005,AFB006,AFB007,AFB008,AFB009,AFB010,AFB011,AFB012,AFB013,AFB014,AFB015,AFB016,AFB017,AFB018,AFB019,AFB020,AFB021,AFB022,AFB023,AFB024,AFB025,AFB026,AFB027,AFB028,AFB029,AFB030,AFB031,AFB032,AFB033,AFB034,AFB035,AFB036,AFB037,AFB038,AFB039,AFB040,AFB041,AFB042,AFB043,AFB044,AFB045,AFB046,AFB047,AFB048,AFB049,AFB050,AFB051,AFB052,AFB053,AFB054,AFB055,AFB056,AFB057,AFB058,AFB059,AFB060,AFB061,AFB062,AFB063,AFB064,AFB065
"G010","1850","Alabama","010","Alabama",420032,7638,237542,91,0,66,612,73,1060,58997,114,93,7,2694,628,215,757,654,3,2852,158,151,271,1443,28521,276,876,74,48663,22541,55,155,10387,3,0,941,584,67,3639,45,1068,33,1,3,18,51,4,113,10,503,163,39,90,0,7,1,0,0,3,18,49,39,3,2,28,116,1109
"G050","1850","Arkansas","050","Arkansas",160345,1628,11250,63206,6,49,121,51,38,6367,3276,2128,106,7428,1096,80,326,174,17,4463,5328,49,117,537,8772,1051,702,36,4587,33807,336,82,4737,13,9,196,71,11,514,24,516,0,2,1,7,1,2,12,6,77,3,3,15,0,0,0,0,0,0,1,41,68,0,0,7,50,824
"G060","1850","California","060","California",69610,22358,631,350,6602,86,1317,305,54,876,2722,2077,341,4690,929,2700,1164,4760,284,772,5890,904,1022,10160,1027,5500,4506,861,519,3145,250,1194,3407,248,317,3050,883,182,2452,158,2926,87,63,124,92,162,12,177,48,1546,220,109,228,1,9,0,660,117,319,65,834,6454,39,877,64,400,629
"G090","1850","Connecticut","090","Connecticut",332525,37473,74,0,0,50,292653,58,46,217,80,47,18,41,64,670,265,11366,89,23,28,795,1174,14416,95,400,1055,6890,116,13,20,1508,228,23,3,5091,1916,111,26689,42,1671,20,19,1,16,13,2,55,5,321,12,74,16,0,1,2,5,16,45,72,970,4,0,35,192,57,794
"G100","1850","Delaware","100","Delaware",83968,5211,4,0,0,28,50,72351,4,14,5,19,0,16,4,24,4360,113,12,6,8,31,1186,218,18,54,5067,204,13,4,1,12,139,1,2,952,155,17,3513,28,343,0,5,0,1,2,1,22,1,73,1,0,0,0,0,0,0,0,0,10,21,3,0,3,25,35,63
"G110","1850","District Of Columbia","110","District of Columbia",42956,4967,45,4,0,24967,135,99,26,67,24,29,1,90,58,87,9245,331,28,55,28,84,163,817,100,123,1164,23,100,58,7,43,4950,2,3,682,142,20,2373,11,1404,3,4,0,6,5,14,36,2,80,20,6,74,0,0,0,1,4,0,2,32,9,0,5,15,17,77
"G120","1850","Florida","120","Florida",45320,2757,2340,5,0,33,179,9,20563,11316,8,14,0,87,146,140,194,235,7,92,7,61,83,614,3537,53,240,66,4470,112,8,55,643,3,0,300,182,11,878,17,307,8,8,17,21,33,4,7,2,67,70,17,40,0,0,0,0,3,0,23,97,6,0,3,599,37,58
"G130","1850","Georgia","130","Georgia",518079,5907,3154,25,0,72,712,117,1103,402666,41,50,1,458,42,178,703,594,3,184,60,122,331,1203,37522,46,642,138,52154,8211,28,186,7331,2,0,679,367,13,3202,25,947,13,11,6,24,11,41,38,8,177,13,5,33,0,1,1,0,2,0,13,108,8,0,8,95,58,517
"G170","1850","Illinois","170","Illinois",736931,110593,1335,727,3,226,6899,1397,23,1341,343618,30953,1511,49588,480,3693,6898,9230,2158,490,7228,4288,6848,67180,13851,64219,37979,1051,4162,32303,63,11381,24697,1095,16,18628,4661,572,27786,286,38160,65,220,2415,93,1123,33,1635,27,3396,70,42,43,0,4,0,1,2,9,11,10699,30,0,12,75,495,3946
"G180","1850","Indiana","180","Indiana",931392,54426,395,151,0,227,2485,2737,21,761,4173,541079,407,68651,321,976,10177,2678,1817,287,1006,886,7837,24310,33175,120193,44245,438,4069,12734,44,3183,41819,99,11,5550,1341,169,12787,740,28584,17,43,18,10,16,86,724,6,2279,3,6,6,0,0,0,0,4,0,4,1878,31,0,4,12,108,2598
