GISJOIN,YEAR,STATE,STATEA,AREANAME,AII001,AII002,AII003,AII004,AII005,AII006,AII007,AII008,AII009,AII010,AII011,AII012,AII013,AII014,AII015,AII016,AII017,AII018,AII019,AII020,AII021,AII022,AII023,AII024,AII025,AII026,AII027,AII028,AII029,AII030,AII031,AII032,AII033,AII034,AII035,AII036,AII037,AII038,AII039,AII040,AII041,AII042,AII043,AII044,AII045,AII046,AII047,AII048,AII049,AII050,AII051,AII052,AII053,AII054,AII055,AII056,AII057,AII058,AII059,AII060,AII061,AII062,AII063,AII064,AII065,AII066,AII067,AII068,AII069,AII070,AII071,AII072,AII073,AII074,AI5001,AI5002,AI5003,AI5004,AI5005
"G010","1860","Alabama","010","Alabama",320026,343,2,604,47,1644,83517,224,186,23,22,1966,1149,272,683,753,23,7,4848,191,170,231,1848,23504,265,0,989,132,45185,19139,275,174,7598,5,68,2,9,645,5,5,1,5,19,239,2,2,92,1174,36,859,124,2601,5,9,26,5664,187,17,51,6,94,0,20,696,157,155,27,138,3,0,1,41,11,4,320026,196089,12352,9,645
"G050","1860","Arkansas","050","Arkansas",24433,124043,36,184,103,175,18031,3899,2554,214,43,11083,2313,112,431,217,66,9,16351,8638,69,115,897,17747,1513,0,890,52,10704,66609,1565,121,6484,58,37,82,6,710,0,1,3,0,1,154,0,0,7,375,8,235,34,1143,8,65,4,1312,17,6,5,3,4,0,25,131,0,25,0,42,2,0,0,10,10,145,124043,195835,3741,6,710
"G060","1860","California","060","California",1382,2216,77707,2950,392,129,1111,8251,4639,2571,64,7029,2020,9864,2456,12165,2301,83,894,14002,2552,2148,28654,1582,12592,636,11143,1319,782,5197,1114,3419,5157,1999,406,1088,89,1363,346,12,896,121,299,5437,100,34935,1328,12227,33,8462,727,21646,103,93,439,33147,2805,9150,715,1459,730,196,260,3670,470,1405,182,1714,2250,138,13,304,1262,181,77707,154307,146528,89,1363
"G085","1860","Colorado Territory","085","Colorado Territory",70,264,39,980,14,2,389,3620,2587,797,197,1861,150,611,461,1400,806,132,88,3312,235,143,3942,130,4125,4,1405,43,42,813,87,375,868,1204,10,107,1,297,0,1,0,0,11,684,0,0,16,352,10,103,9,576,1,0,16,624,6,25,12,1,11,0,1,120,1,27,0,25,1,2,0,2,38,0,107,31206,2666,1,297
"G090","1860","Connecticut","090","Connecticut",107,9,43,323772,81,58,193,237,64,62,7,38,85,1195,379,14674,157,20,30,45,1221,1825,22614,239,666,3,1470,7024,112,26,23,1862,302,134,58,10,24,582,22,13,4,0,30,3145,3,11,91,8875,3,549,172,8525,50,6,70,55445,61,7,22,265,73,0,46,2546,12,42,9,275,44,55,7,207,176,7,323772,55073,80696,24,582
"G095","1860","Dakota Territory","095","Dakota Territory",1,3,0,9,0,0,0,48,31,54,0,13,0,18,2,20,110,480,0,82,7,3,117,4,47,2,47,1,0,3,0,17,10,347,1,1586,0,0,0,0,0,0,0,1458,0,0,0,35,0,56,0,22,0,0,0,42,1,0,129,0,0,0,1,23,0,0,0,1,6,0,0,0,0,0,1586,1477,1774,0,0
"G100","1860","Delaware","100","Delaware",6,7,0,81,84869,9,6,31,32,4,1,6,4,35,5110,214,5,2,6,17,31,1877,456,9,109,0,7852,17,11,5,2,10,171,5,48,0,4,201,2,0,5,0,0,39,0,0,5,1581,0,133,0,1263,0,0,3,5832,4,0,0,0,5,0,2,200,1,8,0,34,5,0,0,13,30,0,84869,16179,9165,4,201
"G110","1860","District Of Columbia","110","District of Columbia",72,30,25,253,160,29,114,56,69,7,4,154,61,204,10698,514,48,8,60,58,156,308,1568,136,220,0,2039,50,126,96,12,101,7613,24,34005,6,15,312,2,4,6,5,20,59,2,0,5,1030,10,160,32,3254,0,2,12,7258,94,13,1,2,30,0,5,258,57,16,3,97,24,1,2,24,28,0,34005,25079,12484,15,312
"G120","1860","Florida","120","Florida",4748,11,1,210,17,35602,17550,8,26,3,2,97,226,222,204,295,8,0,243,19,46,101,688,4168,58,0,201,58,8284,245,35,77,654,6,38,0,6,1213,5,17,0,22,4,77,0,0,21,320,11,141,12,478,3,3,7,827,75,1,11,13,25,2,6,189,78,31,0,13,4,0,0,919,6,0,35602,38549,3309,6,1213
"G130","1860","Georgia","130","Georgia",4628,98,13,823,104,1659,475496,67,47,5,3,469,105,309,609,773,19,2,370,70,170,451,2125,29913,104,0,981,189,50112,7705,85,245,5275,9,66,1,13,304,6,10,3,2,21,178,0,5,21,1122,21,283,28,2472,0,17,27,6586,47,7,13,12,103,0,11,431,35,37,1,62,3,1,0,78,56,0,475496,107604,11671,13,304
"G170","1860","Illinois","170","Illinois",1565,620,175,11192,1888,57,1347,706925,62010,4948,99,60193,988,7475,10476,19053,5516,285,794,12394,7868,15474,121508,13597,131887,31,83625,2252,3223,39012,294,18253,32978,4771,343,59,178,3955,49,19,27,453,536,20132,24,3,712,41745,90,9493,2106,130804,669,0,1416,87573,219,27,4891,395,341,1,134,10540,20,6470,5,5748,23,4,1,155,1528,396,706925,676250,324643,178,3955
"G180","1860","Indiana","180","Indiana",358,223,56,2505,2301,20,561,7925,774721,1844,62,68588,557,1293,9673,3443,3701,161,350,1679,1072,8202,30855,26942,171245,8,57210,455,2662,10356,95,3539,36848,679,222,29,94,1710,22,4,5,27,92,3166,0,2,109,9304,268,6176,351,66705,21,2,450,24495,92,19,38,4,91,1,101,2093,13,329,329,3813,6,4,0,22,226,155,774721,455719,118184,94,1710
"G190","1860","Iowa","190","Iowa",214,150,127,4084,850,26,262,26696,57555,191148,83,13204,281,3151,4663,6214,4393,432,130,5931,3287,4114,46053,4690,99240,13,52156,723,554,5773,59,7581,17944,5121,125,202,105,1498,24,9,13,0,91,8313,0,3,661,11522,3,2421,2709,38555,23,1,2615,28072,26,6,5688,3,100,10,40,2895,13,1465,4,2519,10,0,2,60,913,1,191148,376081,106081,105,1498
"G205","1860","Kansas Territory","205","Kansas Territory",240,448,30,650,91,23,179,9367,9945,4008,10997,6556,114,728,620,1282,1137,76,128,11356,466,499,6331,1234,11617,2,6463,180,215,2569,108,902,3487,1351,72,88,12,942,4,0,0,9,52,986,0,0,70,1400,125,507,87,4318,7,0,45,3888,15,14,223,0,69,2,13,377,3,122,3,260,1,2,1,12,163,0,10997,82562,12691,12,942
"G210","1860","Kentucky","210","Kentucky",920,364,18,470,307,24,879,2617,7883,668,25,721570,824,338,4412,926,135,26,804,2585,185,955,4170,13609,14419,6,7841,105,2478,34127,175,333,45310,92,175,27,55,545,10,5,9,0,46,618,1,8,44,4503,35,2096,116,27227,2,0,154,22249,231,34,10,4,75,1,38,1111,22,43,4,753,7,0,3,34,420,2,721570,148232,59799,55,545
"G220","1860","Louisiana","220","Louisianna",12078,1314,37,378,105,635,9028,507,581,43,5,3112,214294,639,1321,1350,79,20,15041,1199,191,481,5538,2810,1594,3,2339,146,5011,3520,1248,217,2986,45,112,9,24,7207,73,49,6,34,299,830,27,10,309,3989,68,14938,399,24614,1,18,262,28207,1134,320,63,145,196,2,84,1051,1806,193,145,878,24,0,3,1154,97,0,214294,73722,81029,24,7207
"G230","1860","Maine","230","Maine",7,5,68,360,16,7,31,63,18,16,2,17,40,560030,99,13822,49,19,7,16,12366,122,1161,28,118,0,206,418,26,9,7,1293,116,62,42,0,23,137,7,8,0,5,6,17540,1,3,59,2677,12,120,3,384,37,4,16,15290,49,5,27,64,8,1,9,759,27,74,0,13,19,10,4,107,88,20,560030,30636,37453,23,137
"G240","1860","Maryland","240","Maryland",46,13,18,384,4744,29,124,76,99,39,7,113,182,313,481061,1032,20,6,70,97,202,1357,2364,266,610,2,18457,123,145,81,13,154,7560,19,1924,5,36,533,12,5,2,12,30,333,0,5,67,4235,14,599,122,43884,0,2,376,24872,220,9,7,24,66,0,15,1583,17,48,9,177,33,1,1,176,701,1,481061,40694,77536,36,533
"G250","1860","Massachusetts","250","Massachusetts",112,23,289,15580,124,57,235,534,123,102,11,118,198,43031,1128,805546,260,58,54,121,44035,1326,18508,216,847,15,2297,13326,233,53,34,18652,1391,277,260,9,103,1666,128,126,13,433,38,27069,0,28,213,23848,82,1280,123,9961,294,25,351,185434,371,21,171,988,81,17,61,6855,145,685,69,335,168,65,16,326,320,97,805546,163637,260114,103,1666
"G260","1860","Michigan","260","Michigan",40,13,210,7636,515,26,79,2167,4482,353,18,1054,81,2214,710,9873,294828,133,55,164,3482,7531,191128,532,34235,7,17460,1122,105,196,22,13779,2176,1908,54,22,79,1532,21,7,7,0,597,36482,0,0,192,25743,17,2446,660,38787,11,5,6335,30049,78,11,440,7,112,2,68,5705,11,266,9,1269,3,4,0,54,348,6,294828,303582,149092,79,1532
"G270","1860","Minnesota","270","Minnesota",48,9,17,1664,118,16,39,5475,3604,1623,19,641,97,6430,499,3719,1764,34305,64,648,2387,777,21574,141,7533,2,7606,414,39,138,12,4208,849,6603,63,23,49,78,6,1,42,2,94,8023,0,0,170,3462,4,867,860,18400,4,0,391,12831,45,2,8425,0,127,0,59,1079,2,3178,2,1085,0,0,0,5,422,0,34305,78863,58728,49,78
"G280","1860","Mississippi","280","Mississippi",38878,654,8,203,65,343,18458,371,409,48,1,3201,2983,163,643,309,30,15,195806,417,118,182,1336,18321,729,0,950,45,26577,22231,370,205,6897,35,41,3,8,5063,3,1,0,2,9,184,0,0,31,844,81,571,41,2008,1,2,39,3893,114,4,15,3,87,0,26,385,49,21,0,138,3,0,1,22,21,0,195806,145239,8558,8,5063
"G290","1860","Missouri","290","Missouri",3473,4395,213,1422,747,57,2568,30138,30463,9982,1069,99814,1389,955,6015,2702,1270,215,3324,475246,794,2088,14585,20259,35389,68,17929,305,3913,73594,641,1835,53957,1863,426,365,132,2940,15,8,54,6,311,2814,1,3,464,10009,77,5283,3132,88487,114,9,769,43464,554,75,146,28,339,2,72,2021,52,239,49,4585,21,2,3,137,305,23,475246,428222,160541,132,2940
"G315","1860","Nebraska Territory","315","Nebraska Territory",26,18,1,256,35,7,26,1656,1993,1588,57,746,23,145,209,286,356,47,11,1523,120,260,2322,147,3116,0,2048,41,24,280,12,321,745,497,31,3463,5,34,0,25,0,4,12,438,0,0,150,1471,0,151,11,1742,2,0,27,1431,18,18,103,1,13,0,21,283,0,70,2,228,0,0,0,3,128,10,3463,18973,6351,5,34
"G325","1860","Nevada Territory","325","Nevada Territory",21,42,135,66,15,1,23,504,123,53,3,186,30,162,89,251,128,10,36,210,38,55,811,41,489,4,523,19,16,96,14,132,144,65,11,177,5,65,23,0,1,10,3,208,0,0,8,294,0,52,12,454,0,0,5,651,13,85,16,1,9,5,9,98,6,41,0,19,29,0,0,3,21,0,177,4546,2064,5,65
"G330","1860","New Hampshire","330","New Hampshire",21,4,15,919,7,2,25,104,28,18,1,26,15,11405,50,19973,66,22,15,8,256982,92,2045,6,150,0,227,637,8,6,15,11950,71,85,12,4,11,110,10,4,4,2,1,4468,0,2,3,2291,2,103,21,412,2,0,8,12737,18,6,5,8,1,1,0,741,15,20,0,12,11,18,1,14,14,4,256982,48032,20938,11,110
"G340","1860","New Jersey","340","New Jersey",61,4,57,3668,1941,40,197,260,137,72,15,98,166,649,1954,2819,173,8,64,101,527,469015,38540,124,786,0,24425,470,236,45,27,549,880,158,130,4,66,761,34,13,7,15,109,1144,2,3,175,15852,14,2408,506,33772,1,2,1328,62006,105,27,65,14,120,8,38,3556,36,88,4,1144,39,1,6,278,371,5,469015,79385,122790,66,761
"G355","1860","New Mexico Territory","355","New Mexico Territory",36,38,58,25,8,10,34,57,22,11,6,108,53,33,78,72,16,2,23,171,18,38,400,22,97,3,215,16,20,101,166,26,149,9,14,84487,1,150,1,0,4,0,5,76,0,1,9,145,0,108,5,569,1,1,6,827,11,4815,2,5,13,0,2,49,24,3,0,27,8,0,1,8,2,0,84487,2155,6723,1,150
"G360","1860","New York","360","New York",410,25,451,53141,936,194,768,1863,663,363,26,700,860,5794,4859,50004,3624,135,223,361,12497,36499,2602460,891,5603,17,30232,9555,1139,200,140,46990,3650,1674,628,49,375,4096,206,69,68,96,860,55273,55,77,1196,106011,86,21826,2438,256252,131,35,5354,498072,1862,116,539,353,2296,11,1013,27641,809,1678,48,6166,312,36,39,1957,7998,99,2602460,275164,998640,375,4096
"G370","1860","North Carolina","370","North Carolina",184,32,2,301,60,47,1219,29,52,5,2,131,31,99,497,324,8,6,97,38,83,165,609,634220,43,1,543,51,6670,2467,22,53,9899,21,52,2,7,192,4,0,0,0,1,48,0,0,11,729,7,44,10,765,0,0,15,889,27,3,4,16,1,0,20,637,4,9,0,10,4,0,3,26,20,2,634220,23845,3299,7,192
"G390","1860","Ohio","390","Ohio",345,179,386,16741,3045,23,437,2968,11009,1595,31,15074,942,3011,28680,16313,3698,114,656,1007,4111,17787,75550,4701,1529560,16,174764,1558,1105,2006,136,11652,75874,843,573,36,291,4440,43,25,56,14,519,7082,1,3,164,32700,61,12870,1317,168210,148,5,1756,76826,407,31,19,9,326,2,452,6535,38,117,209,11078,33,1,5,102,8365,42,1529560,476966,328254,291,4440
"G410","1860","Oregon","410","Oregon",110,333,486,192,46,11,78,3805,2497,2116,9,2208,65,384,271,535,247,8,46,5695,169,238,2206,422,3285,16564,1361,73,80,1432,59,293,1273,203,26,212,10,295,0,0,55,8,18,663,0,425,50,690,9,198,17,1078,5,0,15,1266,33,26,43,17,39,0,22,217,5,56,1,71,13,56,2,6,32,3,16564,30474,5122,10,295
"G420","1860","Pennsylvania","420","Pennsylvania",139,28,75,8044,12383,64,315,999,707,399,30,711,335,1886,22774,7777,519,86,172,369,1773,31006,70673,439,12119,0,2280004,1799,627,238,63,4276,11026,377,776,18,257,2427,59,26,55,27,218,3484,4,21,234,46546,65,8302,783,138244,14,4,766,201939,622,60,83,90,215,4,250,10137,147,448,3,4404,78,4,8,709,13101,134,2280004,193022,430505,257,2427
"G440","1860","Rhode Island","440","Rhode Island",10,2,31,4634,107,12,173,59,16,14,0,15,30,1301,450,13965,48,18,4,9,1482,249,2780,45,115,0,610,109965,57,7,2,692,138,37,47,2,14,86,15,14,2,24,2,2830,0,2,10,6356,9,123,11,815,0,4,14,25285,32,0,38,86,5,4,6,1517,8,33,1,37,23,5,0,73,19,2,109965,27161,37394,14,86
"G450","1860","South Carolina","450","South Carolina",309,10,4,194,18,138,1854,14,15,4,1,68,37,96,279,322,5,1,114,5,60,154,881,7818,20,0,374,81,276868,269,14,56,1117,2,32,0,10,72,10,7,0,1,5,86,0,3,38,757,22,219,54,2947,1,0,25,4906,59,1,4,15,142,1,19,502,34,38,0,33,7,0,0,93,11,0,276868,14366,9986,10,72
"G470","1860","Tennessee","470","Tennessee",8015,971,25,380,96,20,6372,1396,1086,253,73,12975,525,161,1222,680,115,17,3567,1471,179,384,2475,55227,2140,3,2659,135,11423,660589,254,229,36647,88,127,9,13,855,11,5,1,2,18,387,1,2,32,2001,37,439,75,3869,3,3,50,12498,373,11,14,14,97,1,44,577,4,32,6,566,9,1,1,29,86,2,660589,151399,21226,13,855
"G480","1860","Texas","480","Texas",34193,11319,83,472,114,1103,23637,7050,3478,702,29,14545,9660,459,916,660,248,70,19902,12487,210,384,3221,12138,2183,6,1796,165,10876,42265,153043,288,9081,183,87,335,247,592,7,6,22,8,30,458,5,0,150,1695,45,1883,730,20553,27,2,76,3480,67,12443,326,10,783,0,42,524,59,153,2,453,6,2,3,49,48,5,153043,224345,43422,247,592
"G495","1860","Utah Territory","495","Utah Territory",96,9,236,232,47,5,46,1796,322,1551,7,260,30,222,42,523,162,0,113,726,175,210,1744,118,884,1,862,26,37,398,67,326,158,37,2,15968,8,44,0,17,10,0,0,647,0,1,1824,7084,2,21,51,158,5,0,12,278,40,12,159,1,2,0,0,1228,5,196,19,78,0,0,0,0,945,10,15968,11470,12754,8,44
"G500","1860","Vermont","500","Vermont",86,5,11,2733,4,4,33,147,66,49,3,14,22,1214,39,11913,100,13,6,18,16682,158,8668,11,259,2,160,521,8,9,3,239087,30,168,7,3,7,92,0,1,0,0,2,15776,0,1,3,1632,0,71,1,219,42,0,1,13480,13,1,0,2,1,7,7,1078,2,1,0,4,2,1,0,7,384,5,239087,43169,32743,7,92
"G510","1860","Virginia","510","Virginia",177,47,41,617,561,45,156,245,390,90,7,2938,122,419,12599,1431,53,15,155,387,330,1611,4617,9978,7735,0,18673,140,357,2803,31,265,1001710,38,1259,9,33,311,12,5,3,2,9,389,0,4,41,4104,16,570,74,10512,32,7,81,16501,259,4,8,33,40,0,14,1386,27,57,4,267,10,0,1,76,584,0,1001710,68341,35058,33,311
