GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,ALB001,ALB002,ALE001,ALE002,ALF001,ALF002,ALF003,ALF004,ALF005,ALF006,ALF007,ALF008,ALF009,ALF010,ALF011,ALF012,ALF013,ALF014,ALF015,ALF016,ALF017,ALF018,ALF019,ALF020,ALF021,ALF022,ALF023,ALF024,ALF025,ALF026,ALF027,ALF028,ALF029,ALF030,ALF031,ALF032,ALF033,ALF034,ALF035,ALF036,ALF037,ALF038,ALF039,ALF040,ALF041,ALF042,ALF043,ALF044,ALF045,ALF046,ALF047,ALF048,ALF049,ALF050,ALF051,ALF052,ALF053,ALF054,ALF055,ALF056,ALF057,ALF058,ALF059,ALF060,ALF061,ALF062,ALF063,ALF064,ALF065,ALF066,ALF067,ALF068,ALF069,ALF070,ALF071,ALF072,ALF073,ALF074,ALF075,ALF076,ALF077
"G010","1870","Alabama","010",,,"Alabama",987030,9962,987030,9962,744146,744146,650,16,341,51,2764,93028,369,278,38,15,2580,1753,185,2209,370,87,19,10149,516,2,0,119,232,1539,30290,682,1,727,39,42972,19797,640,128,29636,55,0,0,1,0,227,2,1,0,1,3,0,0,372,244,0,5,99,10,29,183,1,22,80,1080,594,2482,22,14,24,3893,118,13,38,17,36,458,98,126,168,47
"G045","1870","Arizona Territory","045",,,"Arizona Territory",3849,5809,3849,5809,1240,28,32,156,30,10,3,24,115,69,41,7,107,35,56,52,117,31,1,16,121,3,0,32,42,481,23,235,4,275,16,16,65,114,26,95,18,0,1240,3,0,16,0,0,0,93,1,0,0,0,0,1,4,24,5,2,142,21,0,19,137,69,379,0,11,6,495,12,4348,11,0,5,54,4,14,23,5
"G050","1870","Arkansas","050",,,"Arkansas",479445,5026,479445,5026,232882,28318,232882,73,94,43,336,25234,5879,2954,656,458,13671,4909,142,1058,226,212,35,22088,16838,27,1,47,152,1400,18481,2199,1,1147,73,13807,66565,6619,144,11851,159,0,0,9,0,81,6,424,3,5,6,0,0,132,23,0,3,41,9,21,342,98,9,55,550,237,1563,28,71,2,1428,30,14,32,1,24,156,3,154,104,4
"G060","1870","California","060",,,"California",350416,209831,350416,209831,169904,1258,2396,169904,2977,408,134,1024,10689,5190,5367,279,6605,1979,11261,2596,15334,3032,461,995,16050,237,1089,2720,2598,33766,1630,12735,2481,11208,1418,851,4686,1887,3500,5293,3086,28,93,60,7,458,84,19,65,175,850,207,21,1225,48,943,1593,1078,291,90,10660,48826,45,1837,19216,8068,29701,75,452,102,54421,4660,9339,804,2508,540,4949,405,2944,2927,350
"G085","1870","Colorado Territory","085",,,"Colorado Territory",33265,6599,33265,6599,6344,58,90,53,210,27,8,258,1812,809,1310,269,722,34,362,199,621,528,77,41,1704,184,8,139,177,2778,200,2057,5,1552,86,32,287,137,370,520,634,0,0,6344,4,20,3,1,12,8378,67,0,54,24,0,2,5,51,11,15,753,7,1,77,1523,209,1456,1,17,2,1685,16,129,49,0,10,188,5,220,140,4
"G090","1870","Connecticut","090",,,"Connecticut",423815,113639,423815,113639,350498,104,5,122,350498,147,78,274,524,152,122,29,133,167,1988,701,17871,305,66,44,104,6,1,1688,2694,29594,440,928,7,2304,7897,225,85,47,2646,1214,234,0,0,5,1,216,0,1,3,6,0,3,0,136,10,194,17,154,36,95,10861,11,44,116,13289,821,12443,0,99,30,70630,117,5,83,49,34,3238,27,395,492,147
"G095","1870","Dakota Territory","095",,,"Dakota Territory",9366,4815,9366,4815,2088,9,5,8,67,17,5,16,638,258,1044,23,121,13,158,87,143,171,361,9,149,59,0,73,76,1273,40,635,1,667,38,9,49,8,200,186,608,0,0,3,2088,30,0,3,4,7,4,1,1,1,0,0,1,171,1,153,906,0,2,115,251,57,563,2,8,3,888,4,6,3,0,4,77,3,1559,33,1
"G100","1870","Delaware","100",,,"Delaware",115879,9136,115879,9136,94754,7,4,11,185,94754,17,24,46,37,11,0,20,24,81,7146,331,19,4,10,32,0,0,56,2039,1311,49,152,0,8764,59,39,27,4,66,450,17,0,0,0,0,79,0,1,0,0,0,2,0,1,5,2,1,8,2,1,112,0,17,8,1464,127,1142,0,16,3,5907,5,0,4,1,3,229,3,9,33,10
"G110","1870","District Of Columbia","110",,,"District of Columbia",115446,16254,115446,16254,52340,100,17,62,507,292,54,260,264,308,115,24,263,173,674,21751,1254,220,64,96,162,14,3,473,814,4597,426,1042,13,4223,136,268,188,61,429,23596,119,0,0,2,3,52340,0,4,0,11,3,9,2,10,7,3,7,26,8,9,290,4,11,29,1451,233,4920,0,23,46,8218,182,17,49,9,22,352,37,27,175,42
"G120","1870","Florida","120",,,"Florida",182781,4967,182781,4967,109554,7334,71,4,235,19,109554,28058,75,41,19,11,226,368,261,582,464,35,8,612,64,5,0,91,192,1050,6717,128,0,312,83,22116,611,69,122,3121,35,0,0,0,0,82,1,1,0,0,0,0,0,4,88,35,4,17,8,3,174,1,1155,41,405,126,597,25,7,2,737,56,41,20,18,7,144,56,46,14,1101
"G130","1870","Georgia","130",,,"Georgia",1172982,11127,1172982,11127,1033962,12230,356,32,588,61,4781,1033962,199,145,20,21,951,426,262,1580,635,60,11,1319,227,2,2,141,377,2243,26858,366,1,852,151,54937,9394,253,167,19034,45,0,0,6,0,200,0,2,1,0,1,5,1,77,319,0,6,34,21,23,247,4,32,42,1149,312,2761,39,42,42,5093,50,9,88,13,32,420,39,49,103,86
"G165","1870","Idaho Territory","165",,,"Idaho Territory",7114,7885,7114,7885,946,26,24,225,59,5,5,23,400,252,312,22,243,27,242,69,199,69,8,18,536,27,3,54,49,804,45,550,348,416,16,18,109,27,75,175,118,0,0,6,1,14,946,1,13,1,479,53,1,1,0,71,3,26,5,1,334,4268,0,88,875,144,599,9,9,4,986,11,46,12,10,10,114,4,152,52,8
"G170","1870","Illinois","170",,,"Illinois",2024693,515198,2024693,515198,1189503,3908,2245,861,11062,1885,106,2292,1189503,86807,11384,1021,67702,2272,8780,12588,22156,9428,1179,2697,30873,208,43,8213,16336,133494,13169,163012,190,98614,2446,3000,47523,965,18515,35743,12772,0,2,85,11,724,17,15,20,21,30,6,4,766,36,782,124,2099,1071,7350,32550,8,32,3711,57017,10911,203758,44,4180,420,120162,761,73,1696,76,306,15737,50,41859,8980,154
"G180","1870","Indiana","180",,,"Indiana",1539163,141474,1539163,141474,1048575,967,451,206,2134,1969,47,1728,16598,1048575,3483,500,76524,785,1215,8524,3490,5694,388,654,3435,109,5,1011,6682,29518,24799,189359,602,57291,402,2170,12276,267,2987,32489,1233,0,0,14,5,295,0,22,4,5,3,9,5,234,12,6,23,443,462,141,4765,6,10,315,10501,6363,78060,560,873,36,28698,95,17,523,13,61,2507,21,2303,4287,31
"G190","1870","Iowa","190",,,"Iowa",989328,204692,989328,204692,428620,399,397,473,5185,876,59,384,65391,64083,428620,791,14186,496,5943,5972,8929,8918,2683,620,13831,874,63,5057,5688,79143,5090,126285,166,73435,914,566,6085,235,12204,19563,24309,2,3,190,97,174,22,16,51,20,378,21,9,432,17,2,96,2691,650,6766,17907,3,13,2827,18627,3130,66162,1443,4513,134,40124,54,14,178,3,96,5248,27,28352,3937,76
"G200","1870","Kansas","200",,,"Kansas",316007,48392,316007,48392,63321,718,2087,208,1402,307,28,789,35558,30953,13073,63321,15918,408,1837,2067,2894,4466,708,519,29775,639,32,1158,1845,18558,3612,38205,99,19287,364,404,6209,975,2370,9906,4128,4,2,154,17,204,12,456,37,69,75,11,7,132,18,10,40,448,199,105,5324,0,2,503,7182,1274,12775,270,300,38,10940,55,63,169,4,56,1531,4,5542,1328,20
"G210","1870","Kentucky","210",,,"Kentucky",1257613,63398,1257613,63398,1081081,2103,980,73,392,191,60,2602,4005,11687,330,101,1081081,1211,337,3064,792,243,58,1775,4551,40,35,229,747,4309,12877,19533,10,6205,129,2204,49952,940,261,44121,143,0,0,1,1,171,0,3,0,4,4,2,2,54,13,0,14,146,100,40,1082,8,10,53,4520,2057,30318,20,270,107,21642,325,31,109,3,28,1019,16,128,1147,29
