conference,district,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830
Virginia,James River,5348,4691,4520,4209,4118,3888,3713,3580,3731,3919,4044,4093,4137,4601,4536,5653,6818,6885,6837
Virginia,Meherren,4882,4486,4771,4687,4702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Virginia,Meherrin,NA,NA,NA,NA,NA,4435,3964,3860,4008,3895,4172,4424,5056,5052,4889,5061,5324,6313,5835
Virginia,Neuse,NA,NA,3474,3475,3448,2702,3340,4667,5120,5237,5080,4584,4924,4382,5241,5345,5894,5675,6512
Virginia,Newbern,3511,3558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Virginia,Norfolk,4686,6196,6127,6001,5661,6495,6471,NA,NA,6233,6530,6382,5505,5509,4854,7045,8667,8238,9322
Virginia,Raleigh,3822,4018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Virginia,Roanoke,NA,NA,NA,NA,3049,NA,1507,NA,NA,1829,NA,NA,NA,NA,NA,NA,NA,NA,NA
Virginia,Tar River,NA,NA,3834,3466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Virginia,Yadkin,3174,3216,3528,3323,3374,3323,4689,4547,4350,3857,4076,4542,5212,5405,5930,5838,6075,6457,6129
